"","Season","BirdID","step_id_","case_","Dist.Z","Bin","case2"
"123","Spring Dispersal",251,734,0,-0.319371477378206,"Midday",0
"124","Spring Dispersal",251,734,0,-0.301617596608105,"Midday",0
"125","Spring Dispersal",251,734,0,-0.0978759742493015,"Midday",0
"126","Spring Dispersal",251,734,0,-0.26712335165788,"Midday",0
"127","Spring Dispersal",251,734,0,-0.286065049489974,"Midday",0
"128","Spring Dispersal",251,734,0,-0.282070227609856,"Midday",0
"129","Spring Dispersal",251,734,0,-0.274095146913076,"Midday",0
"130","Spring Dispersal",251,734,0,-0.497492471360435,"Midday",0
"131","Spring Dispersal",251,734,0,-0.279790702198797,"Midday",0
"132","Spring Dispersal",251,734,0,-0.270488742445589,"Midday",0
"133","Spring Dispersal",251,735,1,-0.134604537332781,"Afternoon",0
"134","Spring Dispersal",251,735,0,-0.172921997718073,"Afternoon",0
"135","Spring Dispersal",251,735,0,-0.0615656942019572,"Afternoon",0
"136","Spring Dispersal",251,735,0,-0.139355986466024,"Afternoon",0
"137","Spring Dispersal",251,735,0,-0.132033503066266,"Afternoon",0
"138","Spring Dispersal",251,735,0,-0.142658504414205,"Afternoon",0
"139","Spring Dispersal",251,735,0,-0.14893221414038,"Afternoon",0
"140","Spring Dispersal",251,735,0,-0.129776170612378,"Afternoon",0
"141","Spring Dispersal",251,735,0,-0.171047587227075,"Afternoon",0
"142","Spring Dispersal",251,735,0,-0.157135942911312,"Afternoon",0
"143","Spring Dispersal",251,735,0,-0.139249037266402,"Afternoon",0
"144","Spring Dispersal",251,736,1,-0.237326219808925,"Morning",0
"145","Spring Dispersal",251,736,0,-0.261113396526704,"Morning",0
"146","Spring Dispersal",251,736,0,-0.178185413570765,"Morning",0
"147","Spring Dispersal",251,736,0,-0.113408295384833,"Morning",0
"148","Spring Dispersal",251,736,0,-0.058470000738957,"Morning",0
"149","Spring Dispersal",251,736,0,-0.106909453891272,"Morning",0
"150","Spring Dispersal",251,736,0,-0.268742403259572,"Morning",0
"151","Spring Dispersal",251,736,0,-0.196231012022207,"Morning",0
"152","Spring Dispersal",251,736,0,-0.131940912403173,"Morning",0
"153","Spring Dispersal",251,736,0,-0.221879846211853,"Morning",0
"154","Spring Dispersal",251,736,0,-0.129758476570332,"Morning",0
"155","Spring Dispersal",251,738,1,-0.222726982250871,"Afternoon",0
"156","Spring Dispersal",251,738,0,-0.260189210355409,"Afternoon",0
"157","Spring Dispersal",251,738,0,-0.324294210573779,"Afternoon",0
"158","Spring Dispersal",251,738,0,-0.500048662309039,"Afternoon",0
"159","Spring Dispersal",251,738,0,-0.393281362858112,"Afternoon",0
"160","Spring Dispersal",251,738,0,0.0438291288097856,"Afternoon",0
"161","Spring Dispersal",251,738,0,-0.286422199543619,"Afternoon",0
"162","Spring Dispersal",251,738,0,-0.346535669876301,"Afternoon",0
"163","Spring Dispersal",251,738,0,-0.279643634116848,"Afternoon",0
"164","Spring Dispersal",251,738,0,-0.27659090142135,"Afternoon",0
"165","Spring Dispersal",251,738,0,-0.318397752813045,"Afternoon",0
"166","Spring Dispersal",251,741,1,-0.140052175568119,"Midday",0
"167","Spring Dispersal",251,741,0,-0.243678889757373,"Midday",0
"168","Spring Dispersal",251,741,0,-0.238998626017328,"Midday",0
"169","Spring Dispersal",251,741,0,-0.0826103781093914,"Midday",0
"170","Spring Dispersal",251,741,0,-0.288913531671274,"Midday",0
"171","Spring Dispersal",251,741,0,-0.291657888481639,"Midday",0
"172","Spring Dispersal",251,741,0,-0.236865219011767,"Midday",0
"173","Spring Dispersal",251,741,0,-0.241445897228967,"Midday",0
"174","Spring Dispersal",251,741,0,-0.209828249050319,"Midday",0
"175","Spring Dispersal",251,741,0,-0.137639878374008,"Midday",0
"176","Spring Dispersal",251,741,0,-0.286607862847089,"Midday",0
"177","Spring Dispersal",251,742,1,-0.140724953903097,"Midday",0
"178","Spring Dispersal",251,742,0,-0.132428245804374,"Midday",0
"179","Spring Dispersal",251,742,0,-0.215310107374011,"Midday",0
"180","Spring Dispersal",251,742,0,-0.307930809048326,"Midday",0
"181","Spring Dispersal",251,742,0,-0.00538882066991138,"Midday",0
"182","Spring Dispersal",251,742,0,-0.135079680826939,"Midday",0
"183","Spring Dispersal",251,742,0,-0.343566713862449,"Midday",0
"184","Spring Dispersal",251,742,0,-0.132048693712727,"Midday",0
"185","Spring Dispersal",251,742,0,-0.346054118393989,"Midday",0
"186","Spring Dispersal",251,742,0,0.103101182506629,"Midday",0
"187","Spring Dispersal",251,742,0,-0.169945547654269,"Midday",0
"188","Spring Dispersal",251,743,1,-0.159470084624189,"Afternoon",0
"189","Spring Dispersal",251,743,0,-0.0651741118263418,"Afternoon",0
"190","Spring Dispersal",251,743,0,-0.0952773127222183,"Afternoon",0
"191","Spring Dispersal",251,743,0,-0.322917584051635,"Afternoon",0
"192","Spring Dispersal",251,743,0,-0.134037028297597,"Afternoon",0
"193","Spring Dispersal",251,743,0,-0.0762482991948797,"Afternoon",0
"194","Spring Dispersal",251,743,0,-0.125258613155996,"Afternoon",0
"195","Spring Dispersal",251,743,0,-0.195957216415387,"Afternoon",0
"196","Spring Dispersal",251,743,0,-0.141398148759308,"Afternoon",0
"197","Spring Dispersal",251,743,0,-0.110308082491514,"Afternoon",0
"198","Spring Dispersal",251,743,0,-0.195978411134573,"Afternoon",0
"199","Spring Dispersal",251,744,1,-0.0687569413357924,"Midday",0
"200","Spring Dispersal",251,744,0,-0.184498955518288,"Midday",0
"201","Spring Dispersal",251,744,0,-0.162117772320709,"Midday",0
"202","Spring Dispersal",251,744,0,-0.131085231300703,"Midday",0
"203","Spring Dispersal",251,744,0,-0.108121987956911,"Midday",0
"204","Spring Dispersal",251,744,0,-0.185378364641599,"Midday",0
"205","Spring Dispersal",251,744,0,-0.137919558377425,"Midday",0
"206","Spring Dispersal",251,744,0,-0.153962598528455,"Midday",0
"207","Spring Dispersal",251,744,0,-0.158760397602573,"Midday",0
"208","Spring Dispersal",251,744,0,-0.0458722251427632,"Midday",0
"209","Spring Dispersal",251,744,0,-0.354024084777766,"Midday",0
"210","Spring Dispersal",251,745,1,-0.0412533615748948,"Midday",0
"211","Spring Dispersal",251,745,0,-0.0769127726810601,"Midday",0
"212","Spring Dispersal",251,745,0,-0.000518931203701321,"Midday",0
"213","Spring Dispersal",251,745,0,-0.0321820362405664,"Midday",0
"214","Spring Dispersal",251,745,0,-0.00367228110887897,"Midday",0
"215","Spring Dispersal",251,745,0,-0.0458670728761057,"Midday",0
"216","Spring Dispersal",251,745,0,-0.0556080288608647,"Midday",0
"217","Spring Dispersal",251,745,0,-0.0861150987691535,"Midday",0
"218","Spring Dispersal",251,745,0,-0.0774229051955074,"Midday",0
"219","Spring Dispersal",251,745,0,-0.219945870004346,"Midday",0
"220","Spring Dispersal",251,745,0,-0.174833933139184,"Midday",0
"221","Spring Dispersal",251,747,1,-0.0828838250822139,"Afternoon",0
"222","Spring Dispersal",251,747,0,-0.31772512966607,"Afternoon",0
"223","Spring Dispersal",251,747,0,-0.0267243962706375,"Afternoon",0
